speed,lat,lon,time
0.499,45.1801704378035,-1.08415265577698,2015-11-20 10:31:36
1.46,45.1801153686997,-1.08410387310051,2015-11-20 10:31:37
0.639,45.1800857805815,-1.08407436880135,2015-11-20 10:31:38
0.659,45.1800824278202,-1.08407436880135,2015-11-20 10:31:39
0.8,45.1800796617922,-1.08408082286679,2015-11-20 10:31:40
0.409,45.180076560488,-1.08408208015227,2015-11-20 10:31:41
0.57,45.1800737106409,-1.0840906296935,2015-11-20 10:31:42
0.849,45.1800751355644,-1.08411351228916,2015-11-20 10:31:43
1.009,45.1800722857174,-1.08412927026713,2015-11-20 10:31:44
1.08,45.1800644905474,-1.08414100493157,2015-11-20 10:31:45
1.299,45.180052755883,-1.08415248813891,2015-11-20 10:31:46
1.189,45.1800443739798,-1.08416606682205,2015-11-20 10:31:47
1.339,45.1800324716773,-1.08417713093424,2015-11-20 10:31:48
1.509,45.1800186415371,-1.08418928469384,2015-11-20 10:31:49
1.31,45.1800085832533,-1.08420730578566,2015-11-20 10:31:50
1.279,45.1799997822549,-1.08422205793524,2015-11-20 10:31:51
1.18,45.1799916518088,-1.08423253531421,2015-11-20 10:31:52
1.129,45.1799730439838,-1.08423396023775,2015-11-20 10:31:53
1.14,45.1799665060993,-1.0842486285683,2015-11-20 10:31:54
0.809,45.1799699426796,-1.08426639820303,2015-11-20 10:31:55
0.499,45.1799739659931,-1.08427243317331,2015-11-20 10:31:56
0.48,45.1799816773441,-1.08426396745111,2015-11-20 10:31:57
0.57,45.1799916518088,-1.08426472182239,2015-11-20 10:31:58
0.869,45.1800040570255,-1.08426941568817,2015-11-20 10:31:59
1.259,45.1800179709848,-1.08426539237464,2015-11-20 10:32:00
1.209,45.1800306276586,-1.08425986031855,2015-11-20 10:32:01
0.94,45.1800403506663,-1.08425307097698,2015-11-20 10:32:02
0.819,45.1800517500546,-1.08424577872122,2015-11-20 10:32:03
0.639,45.1800609701481,-1.084239911389,2015-11-20 10:32:04
0.59,45.1800697711464,-1.08423521752322,2015-11-20 10:32:05
0.54,45.1800770634022,-1.08422859581972,2015-11-20 10:32:06
0.639,45.1800798294302,-1.08421015563274,2015-11-20 10:32:07
0.649,45.1800904744472,-1.08420579704309,2015-11-20 10:32:08
0.36,45.180095000675,-1.08419707986379,2015-11-20 10:32:09
0.439,45.1800968446937,-1.08418643484676,2015-11-20 10:32:10
0.319,45.1800941624846,-1.08417956168616,2015-11-20 10:32:11
